siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,hplus,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO91,Annual,2004,81,100,95,1.790559,0.1724242,0.2520046,0.464219,1.5650812,9.417014,3.343,0.66317,5.8756862,.110,65231.2,132.634,39,366,"Dec 30 2003 12:00AM","Dec 30 2004 12:00AM"
CO91,Annual,2005,84,100,97,3.394521,0.233631,0.206145,0.41229,1.388043,8.534403,3.006,0.522234,6.500439,.099,67667.6,137.430,40,362,"Dec 30 2004 12:00AM","Dec 27 2005 12:00AM"
CO91,Annual,2006,84,98,85,2.9145844,0.2722414,0.3523124,0.640568,1.8736614,11.8344938,4.129,0.9768662,6.886106,.115,64228.2,160.142,41,371,"Dec 27 2005 12:00AM","Jan  2 2007 12:00AM"
CO91,Annual,2007,84,100,84,2.9867712,0.266676,0.3466788,0.5866872,1.8800658,9.8803458,3.693,0.7866942,6.1868832,.106,61120.0,133.338,41,364,"Jan  2 2007 12:00AM","Jan  1 2008 12:00AM"
CO91,Annual,2008,78,100,84,3.415932,0.240867,0.3394035,0.503631,1.335717,8.167581,2.883,0.635013,4.6531125,.070,50563.1,109.485,37,364,"Jan  1 2008 12:00AM","Dec 30 2008 12:00AM"
CO91,Annual,2009,85,96,94,11.0860874,0.4775858,0.6401682,1.0974312,1.8696976,9.4094564,3.578,1.0567856,6.655717,.051,47919.7,101.614,38,364,"Dec 30 2008 12:00AM","Dec 29 2009 12:00AM"
CO91,Annual,2010,89,100,95,7.8182923,0.3116477,0.4471467,0.7181447,1.9105359,9.213932,3.566,0.8265439,11.0702683,.092,67452.3,135.499,46,367,"Dec 29 2009 12:00AM","Dec 31 2010 12:00AM"
CO91,Annual,2011,71,98,80,1.9403562,0.1822434,0.1929636,0.4609686,1.447227,8.04015,2.941,0.5467302,3.9021528,.072,42129.3,107.202,32,368,"Dec 31 2010 12:00AM","Jan  3 2012 12:00AM"
CO91,Annual,2012,75,98,79,1.8231084,0.1560318,0.1888806,0.2381538,1.3796496,5.2065348,2.248,0.3613368,3.1124238,.039,33653.7,82.122,30,364,"Jan  3 2012 12:00AM","Jan  1 2013 12:00AM"
CO91,Annual,2013,74,100,82,8.0852697,0.464004,0.4524039,0.6264054,1.6124139,8.0388693,3.069,0.7424064,4.988043,.052,53354.8,116.001,39,364,"Jan  1 2013 12:00AM","Dec 31 2013 12:00AM"
CO91,Annual,2014,75,98,80,2.1485165,0.1898689,0.2897999,0.4097171,1.6688477,5.8459635,2.617,0.599586,3.7873849,.049,46063.5,99.931,34,364,"Dec 31 2013 12:00AM","Dec 30 2014 12:00AM"
CO91,Annual,2015,79,100,76,1.816104,0.1816104,0.2572814,0.4842944,2.0128486,7.491429,3.256,0.7869784,4.4948574,.094,59650.0,151.342,37,364,"Dec 30 2014 12:00AM","Dec 29 2015 12:00AM"
CO91,Annual,2016,71,96,72,1.7671606,0.1375634,0.6772352,0.264545,1.1428344,5.3332272,2.093,0.4867628,2.4549776,.053,44668.4,105.818,32,371,"Dec 29 2015 12:00AM","Jan  3 2017 12:00AM"
CO91,Annual,2017,65,73,98,0.811426,0.0811426,0.1275098,0.1622852,0.9215481,3.2225204,1.444,0.2782032,1.5533012,.028,37831.6,57.959,22,364,"Jan  3 2017 12:00AM","Jan  2 2018 12:00AM"
CO91,Annual,2018,78,96,93,1.4116298,0.1261792,0.1813826,0.2444722,1.2460196,4.3926134,1.960,0.3785376,1.932119,.039,46178.4,78.862,31,362,"Jan  2 2018 12:00AM","Dec 21 2018 12:00AM"
CO91,Annual,2019,58,98,72,1.24515,0.1095732,0.2191464,0.2091852,1.2551112,4.4526564,1.981,0.4084092,2.0619684,.052,43605.8,99.612,25,364,"Dec 21 2018 12:00AM","Dec 31 2019 12:00AM"
CO91,Annual,2020,49,76,47,1.3560233,0.1055587,0.3329159,0.2517169,1.6645795,4.9450191,2.410,0.3978751,2.8013655,.039,20280.1,81.199,15,368,"Dec 31 2019 12:00AM","Dec 29 2020 12:00AM"
CO91,Annual,2021,74,99,100,1.5951428,0.1460342,0.3033018,0.3707022,1.8984446,5.6616336,2.754,0.6066036,2.415181,.051,41501.8,112.334,31,370,"Dec 29 2020  6:20PM","Jan  3 2022 10:00PM"
CO91,Annual,2022,78,97,89,1.4665896,0.1296984,0.1895592,0.24942,1.5164736,5.0981448,2.330,0.3791184,2.4243624,.044,49695.7,99.768,29,366,"Jan  3 2022 10:00PM","Jan  4 2023  6:39PM"
CO91,Annual,2023,67,97,84,1.024504,0.0945696,0.1497352,0.1733776,1.0875504,3.5542408,1.648,0.2837088,1.6313256,.034,37796.0,78.808,28,363,"Jan  4 2023  6:39PM","Jan  2 2024 10:25PM"
CO91,Annual,2024,63,99,78,2.3176608,0.1655472,0.2379741,0.3000543,1.6244319,5.1216165,2.419,0.4656015,2.4935547,.040,42332.2,103.467,27,364,"Jan  2 2024 10:25PM","Dec 31 2024  7:52PM"
