Sample ID,Sample Details,Test,Results,Units,QC Pro result,Date and Time,Accepted,Flag,Notes
Duplicate,20240717_TUC_LH_FU_2,nitrate+nitrite,0.025,mg/L,2.08,9/5/25 16:57,20250909,,
Duplicate,20240717_TUC_LH_FU_2,ammonia-N,0.425,mg/L,0.41,9/5/25 15:23,20250909,,
Duplicate,20240717_TUC_LH_FU_2,Orthophosphate low - modified,2.728,ug P/L,40.9,8/27/25 19:04,20250909,Y,
12,20240717_TUC_OUT_FU_1,nitrate+nitrite,0.024,mg/L, ,9/5/25 17:15,20250909,,
12,20240717_TUC_OUT_FU_1,ammonia-N,-0.056,mg/L, ,9/5/25 15:35,20250909,,
12,20240717_TUC_OUT_FU_1,Orthophosphate low - modified,2.7,ug P/L, ,8/27/25 19:16,20250909,,
Duplicate,20240717_TUC_OUT_FU_2,nitrate+nitrite,0.025,mg/L,3.15,9/5/25 17:17,20250909,,
Duplicate,20240717_TUC_OUT_FU_2,ammonia-N,-0.038,mg/L,38.12,9/5/25 15:36,20250909,,
Duplicate,20240717_TUC_OUT_FU_2,Orthophosphate low - modified,2.409,ug P/L,11.39,8/27/25 19:18,20250909,,
13,20240718_UFM_IN1_FU_1,nitrate+nitrite,0.022,mg/L, ,9/5/25 17:19,20250909,,
13,20240718_UFM_IN1_FU_1,ammonia-N,-0.041,mg/L, ,9/5/25 15:38,20250909,,
13,20240718_UFM_IN1_FU_1,Orthophosphate low - modified,13.517,ug P/L, ,8/27/25 19:19,20250909,,
Duplicate,20240718_UFM_IN1_FU_2,nitrate+nitrite,0.022,mg/L,0.92,9/5/25 17:21,20250909,,
Duplicate,20240718_UFM_IN1_FU_2,ammonia-N,-0.049,mg/L,17.45,9/5/25 15:39,20250909,,
Duplicate,20240718_UFM_IN1_FU_2,Orthophosphate low - modified,13.845,ug P/L,2.4,8/27/25 19:20,20250909,,
16,20240718_UFM_OUT_FU_1,nitrate+nitrite,0.026,mg/L, ,9/5/25 17:30,20250909,,
16,20240718_UFM_OUT_FU_1,ammonia-N,-0.023,mg/L, ,9/5/25 15:46,20250909,,
16,20240718_UFM_OUT_FU_1,Orthophosphate low - modified,8.517,ug P/L, ,9/5/25 16:08,20250909,,
16,20240718_UFM_OUT_FU_1,Orthophosphate low - modified,8.543,ug P/L, ,8/27/25 19:28,20250909,,
Duplicate,20240718_UFM_OUT_FU_2,nitrate+nitrite,0.026,mg/L,1.67,9/5/25 17:31,20250909,,
Duplicate,20240718_UFM_OUT_FU_2,ammonia-N,-0.025,mg/L,11.15,9/5/25 15:47,20250909,,
Duplicate,20240718_UFM_OUT_FU_2,Orthophosphate low - modified,8.475,ug P/L,0.5,9/5/25 16:10,20250909,,
Duplicate,20240718_UFM_OUT_FU_2,Orthophosphate low - modified,7.563,ug P/L,12.17,8/27/25 19:30,20250909,,
9,20240906_TUC_LH_FU_1,nitrate+nitrite,0.026,mg/L, ,9/5/25 16:59,20250909,,
9,20240906_TUC_LH_FU_1,ammonia-N,3.799,mg/L, ,9/5/25 17:58,20250909,,
9,20240906_TUC_LH_FU_1,Orthophosphate low - modified,4.888,ug P/L, ,8/27/25 19:06,20250909,,
Duplicate,20240906_TUC_LH_FU_2,nitrate+nitrite,0.025,mg/L,2.75,9/5/25 17:01,20250909,,
Duplicate,20240906_TUC_LH_FU_2,ammonia-N,3.89,mg/L,2.37,9/5/25 17:59,20250909,,
Duplicate,20240906_TUC_LH_FU_2,Orthophosphate low - modified,4.938,ug P/L,1.01,8/27/25 19:07,20250909,,
11,20240906_TUC_LS_FU_1,nitrate+nitrite,0.026,mg/L, ,9/5/25 17:11,20250909,,
11,20240906_TUC_LS_FU_1,ammonia-N,-0.013,mg/L, ,9/5/25 15:32,20250909,,
11,20240906_TUC_LS_FU_1,Orthophosphate low - modified,10.034,ug P/L, ,8/27/25 19:14,20250909,,
Duplicate,20240906_TUC_LS_FU_2,nitrate+nitrite,0.025,mg/L,1.66,9/5/25 17:13,20250909,,
Duplicate,20240906_TUC_LS_FU_2,ammonia-N,-0.011,mg/L,19.38,9/5/25 15:34,20250909,,
Duplicate,20240906_TUC_LS_FU_2,Orthophosphate low - modified,11.096,ug P/L,10.05,8/27/25 19:15,20250909,,
14,20240906_UFM_LH_FU_1,nitrate+nitrite,0.024,mg/L, ,9/5/25 17:23,20250909,,
14,20240906_UFM_LH_FU_1,ammonia-N,-0.045,mg/L, ,9/5/25 15:40,20250909,,
14,20240906_UFM_LH_FU_1,Orthophosphate low - modified,3.022,ug P/L, ,8/27/25 19:22,20250909,,
Duplicate,20240906_UFM_LH_FU_2,nitrate+nitrite,0.022,mg/L,5.72,9/5/25 17:25,20250909,,
Duplicate,20240906_UFM_LH_FU_2,ammonia-N,0.949,mg/L,220.12,9/5/25 15:42,20250909,Y,
Duplicate,20240906_UFM_LH_FU_2,Orthophosphate low - modified,2.853,ug P/L,5.76,8/27/25 19:22,20250909,,
15,20240906_UFM_LS_FU_1,nitrate+nitrite,0.021,mg/L, ,9/5/25 17:27,20250909,,
15,20240906_UFM_LS_FU_1,ammonia-N,-0.051,mg/L, ,9/5/25 15:43,20250909,,
15,20240906_UFM_LS_FU_1,Orthophosphate low - modified,3.11,ug P/L, ,8/27/25 19:24,20250909,,
Duplicate,20240906_UFM_LS_FU_2,nitrate+nitrite,0.022,mg/L,5.49,9/5/25 17:28,20250909,,
Duplicate,20240906_UFM_LS_FU_2,ammonia-N,-0.053,mg/L,3.75,9/5/25 15:44,20250909,,
Duplicate,20240906_UFM_LS_FU_2,Orthophosphate low - modified,3.127,ug P/L,0.55,8/27/25 19:26,20250909,,
1,20240718_LFM_IN_FU_1,nitrate+nitrite,0.032,mg/L, ,9/12/25 19:34,20250916,,
1,20240718_LFM_IN_FU_1,ammonia-N,-0.051,mg/L, ,9/12/25 17:49,20250916,,
1,20240718_LFM_IN_FU_1,Orthophosphate low - modified,3.914,ug P/L, ,9/12/25 18:39,20250916,,
Duplicate,20240718_LFM_IN_FU_2,nitrate+nitrite,0.033,mg/L,5,9/12/25 19:36,20250916,,
Duplicate,20240718_LFM_IN_FU_2,ammonia-N,-0.043,mg/L,16.71,9/12/25 17:51,20250916,,
Duplicate,20240718_LFM_IN_FU_2,Orthophosphate low - modified,4.251,ug P/L,8.26,9/12/25 18:40,20250916,,
2,20240718_LFM_LH_FU_1,nitrate+nitrite,0.028,mg/L, ,9/12/25 19:38,20250916,,
2,20240718_LFM_LH_FU_1,ammonia-N,0.086,mg/L, ,9/12/25 17:52,20250916,,
2,20240718_LFM_LH_FU_1,Orthophosphate low - modified,16.251,ug P/L, ,9/12/25 18:41,20250916,,
Duplicate,20240718_LFM_LH_FU_2,nitrate+nitrite,0.028,mg/L,2.57,9/12/25 19:40,20250916,,
Duplicate,20240718_LFM_LH_FU_2,ammonia-N,0.072,mg/L,17.11,9/12/25 17:53,20250916,,
Duplicate,20240718_LFM_LH_FU_2,Orthophosphate low - modified,16.861,ug P/L,3.68,9/12/25 18:43,20250916,,
3,20240906_LFM_LH_FU_1,nitrate+nitrite,0.016,mg/L, ,9/12/25 19:42,20250916,,
3,20240906_LFM_LH_FU_1,ammonia-N,-0.044,mg/L, ,9/12/25 17:55,20250916,,
3,20240906_LFM_LH_FU_1,Orthophosphate low - modified,4.771,ug P/L, ,9/12/25 18:44,20250916,,
Duplicate,20240906_LFM_LH_FU_2,nitrate+nitrite,0.017,mg/L,5.49,9/12/25 19:44,20250916,,
Duplicate,20240906_LFM_LH_FU_2,ammonia-N,-0.05,mg/L,12.68,9/12/25 17:56,20250916,,
Duplicate,20240906_LFM_LH_FU_2,Orthophosphate low - modified,4.628,ug P/L,3.05,9/12/25 18:45,20250916,,
4,20240718_LFM_LS_FU_1,nitrate+nitrite,0.025,mg/L, ,9/12/25 19:46,20250916,,
4,20240718_LFM_LS_FU_1,ammonia-N,-0.043,mg/L, ,9/12/25 17:57,20250916,,
4,20240718_LFM_LS_FU_1,Orthophosphate low - modified,2.306,ug P/L, ,9/12/25 18:47,20250916,,
Duplicate,20240718_LFM_LS_FU_2,nitrate+nitrite,0.024,mg/L,1.54,9/12/25 19:48,20250916,,
Duplicate,20240718_LFM_LS_FU_2,ammonia-N,-0.045,mg/L,5.12,9/12/25 17:59,20250916,,
Duplicate,20240718_LFM_LS_FU_2,Orthophosphate low - modified,1.99,ug P/L,14.71,9/12/25 18:48,20250916,Y,
5,20240906_LFM_LS_FU_1,nitrate+nitrite,0.011,mg/L, ,9/12/25 19:50,20250916,,
5,20240906_LFM_LS_FU_1,ammonia-N,-0.05,mg/L, ,9/12/25 18:00,20250916,,
5,20240906_LFM_LS_FU_1,Orthophosphate low - modified,3.746,ug P/L, ,9/12/25 18:49,20250916,,
Duplicate,20240906_LFM_LS_FU_2,nitrate+nitrite,0.014,mg/L,17.95,9/12/25 19:52,20250916,,
Duplicate,20240906_LFM_LS_FU_2,ammonia-N,-0.028,mg/L,54.91,9/12/25 18:01,20250916,,
Duplicate,20240906_LFM_LS_FU_2,Orthophosphate low - modified,3.675,ug P/L,1.9,9/12/25 18:51,20250916,,
6,20240718_LFM_OUT_FU_1,nitrate+nitrite,0.025,mg/L, ,9/12/25 19:54,20250916,,
6,20240718_LFM_OUT_FU_1,ammonia-N,-0.043,mg/L, ,9/12/25 18:03,20250916,,
6,20240718_LFM_OUT_FU_1,Orthophosphate low - modified,2.812,ug P/L, ,9/12/25 18:52,20250916,,
Duplicate,20240718_LFM_OUT_FU_2,nitrate+nitrite,0.027,mg/L,10.64,9/12/25 19:56,20250916,,
Duplicate,20240718_LFM_OUT_FU_2,ammonia-N,-0.047,mg/L,8.47,9/12/25 18:04,20250916,,
Duplicate,20240718_LFM_OUT_FU_2,Orthophosphate low - modified,2.918,ug P/L,3.69,9/12/25 18:53,20250916,,
7,20250716_LFM_IN_FU_1,nitrate+nitrite,0.048,mg/L, ,9/12/25 19:58,20250916,,
7,20250716_LFM_IN_FU_1,ammonia-N,-0.038,mg/L, ,9/12/25 18:05,20250916,,
7,20250716_LFM_IN_FU_1,Orthophosphate low - modified,4.151,ug P/L, ,9/12/25 18:55,20250916,,
Duplicate,20250716_LFM_IN_FU_2,nitrate+nitrite,0.041,mg/L,15.94,9/12/25 20:00,20250916,,
Duplicate,20250716_LFM_IN_FU_2,ammonia-N,-0.035,mg/L,9.69,9/12/25 18:07,20250916,,
Duplicate,20250716_LFM_IN_FU_2,Orthophosphate low - modified,4.2,ug P/L,1.18,9/12/25 18:56,20250916,,
8,20250716_LFM_LH_FU_1,nitrate+nitrite,0.014,mg/L, ,9/12/25 20:01,20250916,,
8,20250716_LFM_LH_FU_1,ammonia-N,-0.009,mg/L, ,9/12/25 18:08,20250916,,
8,20250716_LFM_LH_FU_1,Orthophosphate low - modified,9.117,ug P/L, ,9/12/25 18:57,20250916,,
Duplicate,20250716_LFM_LH_FU_2,nitrate+nitrite,0.014,mg/L,0.86,9/12/25 20:03,20250916,,
Duplicate,20250716_LFM_LH_FU_2,ammonia-N,0.003,mg/L,457.77,9/12/25 18:09,20250916,,
Duplicate,20250716_LFM_LH_FU_2,Orthophosphate low - modified,9.236,ug P/L,1.3,9/12/25 18:59,20250916,,
9,20540716_LFM_LS_FU_1,nitrate+nitrite,0.015,mg/L, ,9/12/25 20:05,20250916,,
9,20540716_LFM_LS_FU_1,ammonia-N,-0.025,mg/L, ,9/12/25 18:11,20250916,,
9,20540716_LFM_LS_FU_1,Orthophosphate low - modified,2.802,ug P/L, ,9/12/25 19:00,20250916,,
Duplicate,20250716_LFM_LS_FU_2,nitrate+nitrite,0.013,mg/L,17.77,9/12/25 20:07,20250916,,
Duplicate,20250716_LFM_LS_FU_2,ammonia-N,-0.035,mg/L,33.5,9/12/25 18:12,20250916,,
Duplicate,20250716_LFM_LS_FU_2,Orthophosphate low - modified,2.64,ug P/L,5.96,9/12/25 19:01,20250916,,
10,20250716_LFM_OUT_FU_1,nitrate+nitrite,0.017,mg/L, ,9/12/25 20:09,20250916,,
10,20250716_LFM_OUT_FU_1,ammonia-N,-0.031,mg/L, ,9/12/25 18:13,20250916,,
10,20250716_LFM_OUT_FU_1,Orthophosphate low - modified,3.585,ug P/L, ,9/12/25 19:03,20250916,,
Duplicate,20250716_LFM_OUT_FU_2,nitrate+nitrite,0.016,mg/L,4,9/12/25 20:11,20250916,,
Duplicate,20250716_LFM_OUT_FU_2,ammonia-N,-0.025,mg/L,21.14,9/12/25 18:15,20250916,,
Duplicate,20250716_LFM_OUT_FU_2,Orthophosphate low - modified,3.348,ug P/L,6.84,9/12/25 19:04,20250916,,
11,20250716_UFM_LH_FU_1,nitrate+nitrite,0.015,mg/L, ,9/12/25 20:17,20250916,,
11,20250716_UFM_LH_FU_1,ammonia-N,0.132,mg/L, ,9/12/25 18:19,20250916,,
11,20250716_UFM_LH_FU_1,Orthophosphate low - modified,2.559,ug P/L, ,9/12/25 19:08,20250916,,
Duplicate,20250716_UFM_LH_FU_2,nitrate+nitrite,0.015,mg/L,0.99,9/12/25 20:19,20250916,,
Duplicate,20250716_UFM_LH_FU_2,ammonia-N,0.158,mg/L,17.6,9/12/25 18:20,20250916,,
Duplicate,20250716_UFM_LH_FU_2,Orthophosphate low - modified,2.753,ug P/L,7.32,9/12/25 19:09,20250916,,
12,20250716_UFM_LS_FU_1,nitrate+nitrite,0.014,mg/L, ,9/12/25 20:21,20250916,,
12,20250716_UFM_LS_FU_1,ammonia-N,-0.023,mg/L, ,9/12/25 18:21,20250916,,
12,20250716_UFM_LS_FU_1,Orthophosphate low - modified,2.356,ug P/L, ,9/12/25 19:11,20250916,,
Duplicate,20250716_UFM_LS_FU_2,nitrate+nitrite,0.013,mg/L,11.48,9/12/25 20:22,20250916,,
Duplicate,20250716_UFM_LS_FU_2,ammonia-N,-0.03,mg/L,26.11,9/12/25 18:23,20250916,,
Duplicate,20250716_UFM_LS_FU_2,Orthophosphate low - modified,2.527,ug P/L,7.01,9/12/25 19:13,20250916,,
13,20250716_UFM_OUT_FU_1,nitrate+nitrite,0.021,mg/L, ,9/12/25 20:23,20250916,,
13,20250716_UFM_OUT_FU_1,ammonia-N,-0.016,mg/L, ,9/12/25 18:24,20250916,,
13,20250716_UFM_OUT_FU_1,Orthophosphate low - modified,3.398,ug P/L, ,9/12/25 19:15,20250916,,
Duplicate,20250716_UFM_OUT_FU_2,nitrate+nitrite,0.022,mg/L,6.87,9/12/25 20:24,20250916,,
Duplicate,20250716_UFM_OUT_FU_2,ammonia-N,-0.038,mg/L,81.21,9/12/25 18:25,20250916,,
Duplicate,20250716_UFM_OUT_FU_2,Orthophosphate low - modified,3.515,ug P/L,3.38,9/12/25 19:17,20250916,,
1,20250716_TUC_IN1_FU_1,nitrate+nitrite,-0.012,mg/L, ,9/16/25 14:07,20250917,,
1,20250716_TUC_IN1_FU_1,ammonia-N,-0.038,mg/L, ,9/16/25 12:14,20250917,,
1,20250716_TUC_IN1_FU_1,Orthophosphate low - modified,13.599,ug P/L, ,9/16/25 13:04,20250917,,
Duplicate,20250716_TUC_IN1_FU_2,nitrate+nitrite,-0.014,mg/L,10.62,9/16/25 14:09,20250917,,
Duplicate,20250716_TUC_IN1_FU_2,ammonia-N,-0.048,mg/L,21.54,9/16/25 12:15,20250917,,
Duplicate,20250716_TUC_IN1_FU_2,Orthophosphate low - modified,13.78,ug P/L,1.32,9/16/25 13:06,20250917,,
2,20250716_TUC_IN2_FU_1,nitrate+nitrite,-0.019,mg/L, ,9/16/25 14:11,20250917,,
2,20250716_TUC_IN2_FU_1,ammonia-N,-0.061,mg/L, ,9/16/25 12:16,20250917,,
2,20250716_TUC_IN2_FU_1,Orthophosphate low - modified,7.369,ug P/L, ,9/16/25 13:07,20250917,,
Duplicate,20250716_TUC_IN2_FU_2,nitrate+nitrite,-0.018,mg/L,2.57,9/16/25 14:13,20250917,,
Duplicate,20250716_TUC_IN2_FU_2,ammonia-N,-0.055,mg/L,10.22,9/16/25 12:18,20250917,,
Duplicate,20250716_TUC_IN2_FU_2,Orthophosphate low - modified,6.39,ug P/L,14.23,9/16/25 13:08,20250917,,
3,20250716_TUC_IN3_FU_1,nitrate+nitrite,0.004,mg/L, ,9/16/25 14:15,20250917,,
3,20250716_TUC_IN3_FU_1,ammonia-N,-0.054,mg/L, ,9/16/25 12:19,20250917,,
3,20250716_TUC_IN3_FU_1,Orthophosphate low - modified,7.399,ug P/L, ,9/16/25 13:10,20250917,,
Duplicate,20250716_TUC_IN3_FU_2,nitrate+nitrite,0.005,mg/L,30.45,9/16/25 14:17,20250917,,
Duplicate,20250716_TUC_IN3_FU_2,ammonia-N,-0.06,mg/L,10.47,9/16/25 12:20,20250917,,
Duplicate,20250716_TUC_IN3_FU_2,Orthophosphate low - modified,7.305,ug P/L,1.28,9/16/25 13:11,20250917,,
4,20250716_TUC_IN4_FU_1,nitrate+nitrite,-0.017,mg/L, ,9/16/25 14:19,20250917,,
4,20250716_TUC_IN4_FU_1,ammonia-N,-0.052,mg/L, ,9/16/25 12:22,20250917,,
4,20250716_TUC_IN4_FU_1,Orthophosphate low - modified,11.514,ug P/L, ,9/16/25 13:12,20250917,,
Duplicate,20250716_TUC_IN4_FU_2,nitrate+nitrite,-0.017,mg/L,0.24,9/16/25 14:21,20250917,,
Duplicate,20250716_TUC_IN4_FU_2,ammonia-N,-0.063,mg/L,18.82,9/16/25 12:23,20250917,,
Duplicate,20250716_TUC_IN4_FU_2,Orthophosphate low - modified,11.665,ug P/L,1.3,9/16/25 13:14,20250917,,
5,20250716_TUC_IN5_FU_1,nitrate+nitrite,-0.018,mg/L, ,9/16/25 14:23,20250917,,
5,20250716_TUC_IN5_FU_1,ammonia-N,-0.053,mg/L, ,9/16/25 12:24,20250917,,
5,20250716_TUC_IN5_FU_1,Orthophosphate low - modified,12.063,ug P/L, ,9/16/25 13:15,20250917,,
Duplicate,20250716_TUC_IN5_FU_2,nitrate+nitrite,-0.018,mg/L,2.78,9/16/25 14:25,20250917,,
Duplicate,20250716_TUC_IN5_FU_2,ammonia-N,-0.047,mg/L,10.49,9/16/25 12:26,20250917,,
Duplicate,20250716_TUC_IN5_FU_2,Orthophosphate low - modified,12.328,ug P/L,2.18,9/16/25 13:16,20250917,,
6,20250716_TUC_IN6_FU_1,nitrate+nitrite,0.702,mg/L, ,9/16/25 14:27,20250917,,
6,20250716_TUC_IN6_FU_1,ammonia-N,-0.057,mg/L, ,9/16/25 12:27,20250917,,
6,20250716_TUC_IN6_FU_1,Orthophosphate low - modified,132.527,ug P/L, ,9/16/25 13:18,20250917,,
Duplicate,20250716_TUC_IN6_FU_2,nitrate+nitrite,0.691,mg/L,1.65,9/16/25 14:29,20250917,,
Duplicate,20250716_TUC_IN6_FU_2,ammonia-N,-0.065,mg/L,13.13,9/16/25 12:28,20250917,,
Duplicate,20250716_TUC_IN6_FU_2,Orthophosphate low - modified,132.032,ug P/L,0.37,9/16/25 13:19,20250917,,
7,20250716_TUC_LH_FU_1,nitrate+nitrite,-0.02,mg/L, ,9/16/25 14:31,20250917,,
7,20250716_TUC_LH_FU_1,ammonia-N,4.399,mg/L, ,9/16/25 15:06,20250917,,
7,20250716_TUC_LH_FU_1,Orthophosphate low - modified,2.941,ug P/L, ,9/16/25 13:20,20250917,,
Duplicate,20250716_TUC_LH_FU_2,nitrate+nitrite,-0.021,mg/L,5.52,9/16/25 14:33,20250917,,
Duplicate,20250716_TUC_LH_FU_2,ammonia-N,4.374,mg/L,0.56,9/16/25 15:07,20250917,,
Duplicate,20250716_TUC_LH_FU_2,Orthophosphate low - modified,3.321,ug P/L,12.16,9/16/25 13:22,20250917,,
8,20250716_TUC_LS_FU_1,nitrate+nitrite,-0.021,mg/L, ,9/16/25 14:35,20250917,,
8,20250716_TUC_LS_FU_1,ammonia-N,-0.041,mg/L, ,9/16/25 12:32,20250917,,
8,20250716_TUC_LS_FU_1,Orthophosphate low - modified,3.56,ug P/L, ,9/16/25 13:23,20250917,,
Duplicate,20250716_TUC_LS_FU_2,nitrate+nitrite,-0.021,mg/L,0.49,9/16/25 14:37,20250917,,
Duplicate,20250716_TUC_LS_FU_2,ammonia-N,-0.032,mg/L,24.94,9/16/25 12:34,20250917,,
Duplicate,20250716_TUC_LS_FU_2,Orthophosphate low - modified,3.658,ug P/L,2.69,9/16/25 13:24,20250917,,
9,20250716_TUC_OUT_FU_1,nitrate+nitrite,-0.016,mg/L, ,9/16/25 14:39,20250917,,
9,20250716_TUC_OUT_FU_1,ammonia-N,-0.034,mg/L, ,9/16/25 12:35,20250917,,
9,20250716_TUC_OUT_FU_1,Orthophosphate low - modified,22.268,ug P/L, ,9/16/25 13:26,20250917,,
Duplicate,20250716_TUC_OUT_FU_2,nitrate+nitrite,-0.016,mg/L,1.13,9/16/25 14:39,20250917,,
Duplicate,20250716_TUC_OUT_FU_2,ammonia-N,-0.026,mg/L,25.28,9/16/25 12:36,20250917,,
Duplicate,20250716_TUC_OUT_FU_2,Orthophosphate low - modified,20.789,ug P/L,6.87,9/16/25 13:28,20250917,,
