"","lake","date","depth_m","parameter","value"
"64","LowerFourmile",2024-07-18,2.25,"cond_uScm",19.65
"65","LowerFourmile",2024-07-18,2.25,"do_mgL",7.545
"66","LowerFourmile",2024-07-18,2.25,"do_percent",74.2
"67","LowerFourmile",2024-07-18,2.25,"orp_mV",375.7
"68","LowerFourmile",2024-07-18,2.25,"pH",7.59
"69","LowerFourmile",2024-07-18,2.25,"phycoC_RFU",-0.13
"70","LowerFourmile",2024-07-18,2.25,"temp_C",14.5535
"71","LowerFourmile",2024-07-18,2.5,"barometer_mmHg",513.5
"72","LowerFourmile",2024-07-18,2.5,"chla_RFU",0.03
"73","LowerFourmile",2024-07-18,2.5,"cond_spec_uScm",26.55
"74","LowerFourmile",2024-07-18,2.5,"cond_uScm",20.5
"75","LowerFourmile",2024-07-18,2.5,"do_mgL",8.275
"76","LowerFourmile",2024-07-18,2.5,"do_percent",78.75
"77","LowerFourmile",2024-07-18,2.5,"orp_mV",375.85
"78","LowerFourmile",2024-07-18,2.5,"pH",7.59
"79","LowerFourmile",2024-07-18,2.5,"phycoC_RFU",-0.11
"80","LowerFourmile",2024-07-18,2.5,"temp_C",13.08
"81","LowerFourmile",2024-07-18,3.5,"barometer_mmHg",513.45
"82","LowerFourmile",2024-07-18,3.5,"chla_RFU",0.075
"83","LowerFourmile",2024-07-18,3.5,"cond_spec_uScm",27.8
"84","LowerFourmile",2024-07-18,3.5,"cond_uScm",21.25
"85","LowerFourmile",2024-07-18,3.5,"do_mgL",8.44
"86","LowerFourmile",2024-07-18,3.5,"do_percent",79.7
"87","LowerFourmile",2024-07-18,3.5,"orp_mV",375.9
"88","LowerFourmile",2024-07-18,3.5,"pH",7.59
"89","LowerFourmile",2024-07-18,3.5,"phycoC_RFU",-0.1
"90","LowerFourmile",2024-07-18,3.5,"temp_C",12.7465
"91","LowerFourmile",2024-07-18,3.75,"barometer_mmHg",513.5
"92","LowerFourmile",2024-07-18,3.75,"chla_RFU",0.17
"93","LowerFourmile",2024-07-18,3.75,"cond_spec_uScm",29.7
"94","LowerFourmile",2024-07-18,3.75,"cond_uScm",21.85
"95","LowerFourmile",2024-07-18,3.75,"do_mgL",8.835
"96","LowerFourmile",2024-07-18,3.75,"do_percent",80.45
"97","LowerFourmile",2024-07-18,3.75,"orp_mV",376
"98","LowerFourmile",2024-07-18,3.75,"pH",7.6
"99","LowerFourmile",2024-07-18,3.75,"phycoC_RFU",-0.085
"100","LowerFourmile",2024-07-18,3.75,"temp_C",11.1545
"101","LowerFourmile",2024-07-18,4,"barometer_mmHg",513.5
"102","LowerFourmile",2024-07-18,4,"chla_RFU",0.34
"103","LowerFourmile",2024-07-18,4,"cond_spec_uScm",30.95
"104","LowerFourmile",2024-07-18,4,"cond_uScm",22.35
"105","LowerFourmile",2024-07-18,4,"do_mgL",9.115
"106","LowerFourmile",2024-07-18,4,"do_percent",81.7
"107","LowerFourmile",2024-07-18,4,"orp_mV",376.25
"108","LowerFourmile",2024-07-18,4,"pH",7.6
"109","LowerFourmile",2024-07-18,4,"phycoC_RFU",-0.075
"110","LowerFourmile",2024-07-18,4,"temp_C",10.512
"111","LowerFourmile",2024-07-18,4.25,"barometer_mmHg",513.5
"112","LowerFourmile",2024-07-18,4.25,"chla_RFU",0.385
"113","LowerFourmile",2024-07-18,4.25,"cond_spec_uScm",31.3
"114","LowerFourmile",2024-07-18,4.25,"cond_uScm",22.5
"115","LowerFourmile",2024-07-18,4.25,"do_mgL",9.29
"116","LowerFourmile",2024-07-18,4.25,"do_percent",83
"117","LowerFourmile",2024-07-18,4.25,"orp_mV",376.65
"118","LowerFourmile",2024-07-18,4.25,"pH",7.6
"119","LowerFourmile",2024-07-18,4.25,"phycoC_RFU",-0.06
"120","LowerFourmile",2024-07-18,4.25,"temp_C",10.328
"121","LowerFourmile",2024-07-18,5,"barometer_mmHg",513.5
"122","LowerFourmile",2024-07-18,5,"chla_RFU",0.37
"123","LowerFourmile",2024-07-18,5,"cond_spec_uScm",31.4
"124","LowerFourmile",2024-07-18,5,"cond_uScm",22.6
"125","LowerFourmile",2024-07-18,5,"do_mgL",9.33
"126","LowerFourmile",2024-07-18,5,"do_percent",83.2
"127","LowerFourmile",2024-07-18,5,"orp_mV",377
"128","LowerFourmile",2024-07-18,5,"pH",7.59
"129","LowerFourmile",2024-07-18,5,"phycoC_RFU",-0.05
"130","LowerFourmile",2024-07-18,5,"temp_C",10.246
"131","LowerFourmile",2024-07-18,5.25,"barometer_mmHg",513.5
"132","LowerFourmile",2024-07-18,5.25,"chla_RFU",0.34
"133","LowerFourmile",2024-07-18,5.25,"cond_spec_uScm",31.6
"134","LowerFourmile",2024-07-18,5.25,"cond_uScm",22.6
"135","LowerFourmile",2024-07-18,5.25,"do_mgL",9.34
"136","LowerFourmile",2024-07-18,5.25,"do_percent",83.05
"137","LowerFourmile",2024-07-18,5.25,"orp_mV",377.4
"138","LowerFourmile",2024-07-18,5.25,"pH",7.585
"139","LowerFourmile",2024-07-18,5.25,"phycoC_RFU",-0.05
"140","LowerFourmile",2024-07-18,5.25,"temp_C",10.1145
"141","LowerFourmile",2024-07-18,5.5,"barometer_mmHg",513.5
"142","LowerFourmile",2024-07-18,5.5,"chla_RFU",0.27
"143","LowerFourmile",2024-07-18,5.5,"cond_spec_uScm",31.9
"144","LowerFourmile",2024-07-18,5.5,"cond_uScm",22.7
"145","LowerFourmile",2024-07-18,5.5,"do_mgL",9.29
"146","LowerFourmile",2024-07-18,5.5,"do_percent",82.2
"147","LowerFourmile",2024-07-18,5.5,"orp_mV",378.5
"148","LowerFourmile",2024-07-18,5.5,"pH",7.47
"149","LowerFourmile",2024-07-18,5.5,"phycoC_RFU",-0.05
"150","LowerFourmile",2024-07-18,5.5,"temp_C",9.917
"151","LowerFourmile",2024-07-18,5.75,"barometer_mmHg",513.5
"152","LowerFourmile",2024-07-18,5.75,"chla_RFU",0.11
"153","LowerFourmile",2024-07-18,5.75,"cond_spec_uScm",32.65
"154","LowerFourmile",2024-07-18,5.75,"cond_uScm",23.15
"155","LowerFourmile",2024-07-18,5.75,"do_mgL",8.535
"156","LowerFourmile",2024-07-18,5.75,"do_percent",75.15
"157","LowerFourmile",2024-07-18,5.75,"orp_mV",381.3
"158","LowerFourmile",2024-07-18,5.75,"pH",7.43
"159","LowerFourmile",2024-07-18,5.75,"phycoC_RFU",-0.04
"160","LowerFourmile",2024-07-18,5.75,"temp_C",9.7615
"161","LowerFourmile",2024-07-18,6,"barometer_mmHg",513.5
"162","LowerFourmile",2024-07-18,6,"chla_RFU",20.28
"163","LowerFourmile",2024-07-18,6,"cond_spec_uScm",35.4
"164","LowerFourmile",2024-07-18,6,"cond_uScm",25
"165","LowerFourmile",2024-07-18,6,"do_mgL",6.45
"166","LowerFourmile",2024-07-18,6,"do_percent",56.6
"167","LowerFourmile",2024-07-18,6,"orp_mV",366.6
"168","LowerFourmile",2024-07-18,6,"pH",7.25
"169","LowerFourmile",2024-07-18,6,"phycoC_RFU",72.53
"170","LowerFourmile",2024-07-18,6,"temp_C",9.616
"171","LowerFourmile",2024-07-18,6.25,"barometer_mmHg",513.4
"172","LowerFourmile",2024-07-18,6.25,"chla_RFU",20.4
"173","LowerFourmile",2024-07-18,6.25,"cond_spec_uScm",35.5
"174","LowerFourmile",2024-07-18,6.25,"cond_uScm",25.1
"175","LowerFourmile",2024-07-18,6.25,"do_mgL",5.14
"176","LowerFourmile",2024-07-18,6.25,"do_percent",45.2
"177","LowerFourmile",2024-07-18,6.25,"orp_mV",345.5
"178","LowerFourmile",2024-07-18,6.25,"pH",7.2
"179","LowerFourmile",2024-07-18,6.25,"phycoC_RFU",72.43
"180","LowerFourmile",2024-07-18,6.25,"temp_C",9.713
